"idCaptura";"fkMaquinaRecurso";"registro";"dthCriacao"
283;5;0.0;"2024-10-14 22:54:23"
284;6;0.0;"2024-10-14 22:54:23"
285;3;0.0;"2024-10-14 22:54:23"
286;4;1.0;"2024-10-14 22:54:23"
287;7;2157.0;"2024-10-14 22:54:46"
288;8;411.0;"2024-10-14 22:54:46"
289;10;2348557.0;"2024-10-14 22:54:46"
290;9;1410841.0;"2024-10-14 22:54:46"
291;1;4.5;"2024-10-14 22:54:53"
292;2;89.5;"2024-10-14 22:54:53"
293;5;0.0;"2024-10-14 22:54:53"
294;6;0.0;"2024-10-14 22:54:53"
295;3;0.0;"2024-10-14 22:54:53"
296;4;1.0;"2024-10-14 22:54:53"
297;7;2157.0;"2024-10-14 22:55:16"
298;8;411.0;"2024-10-14 22:55:16"
299;10;2348810.0;"2024-10-14 22:55:16"
300;9;1411074.0;"2024-10-14 22:55:16"
301;1;5.6;"2024-10-14 22:55:23"
302;2;90.6;"2024-10-14 22:55:23"
303;5;0.0;"2024-10-14 22:55:23"
304;6;0.0;"2024-10-14 22:55:23"
305;3;0.0;"2024-10-14 22:55:23"
306;4;1.0;"2024-10-14 22:55:23"
307;7;2157.0;"2024-10-14 22:55:47"
308;8;411.0;"2024-10-14 22:55:47"
309;10;2348979.0;"2024-10-14 22:55:47"
310;9;1411255.0;"2024-10-14 22:55:47"
311;1;4.5;"2024-10-14 22:55:53"
312;2;90.2;"2024-10-14 22:55:53"
313;5;0.0;"2024-10-14 22:55:53"
314;6;0.0;"2024-10-14 22:55:53"
315;3;0.0;"2024-10-14 22:55:53"
316;4;1.0;"2024-10-14 22:55:53"
317;7;2157.0;"2024-10-14 22:56:17"
318;8;412.0;"2024-10-14 22:56:17"
319;10;2349238.0;"2024-10-14 22:56:17"
320;9;1411501.0;"2024-10-14 22:56:17"
321;1;4.8;"2024-10-14 22:56:23"
322;2;89.3;"2024-10-14 22:56:23"
323;5;0.0;"2024-10-14 22:56:23"
324;6;0.0;"2024-10-14 22:56:23"
325;3;0.0;"2024-10-14 22:56:23"
326;4;1.0;"2024-10-14 22:56:23"
327;7;2157.0;"2024-10-14 22:56:48"
328;8;412.0;"2024-10-14 22:56:48"
329;10;2349792.0;"2024-10-14 22:56:48"
330;9;1412090.0;"2024-10-14 22:56:48"
331;1;18.2;"2024-10-14 22:56:53"
332;2;90.2;"2024-10-14 22:56:53"
333;5;0.0;"2024-10-14 22:56:53"
334;6;0.0;"2024-10-14 22:56:53"
335;3;0.0;"2024-10-14 22:56:53"
336;4;1.0;"2024-10-14 22:56:53"
337;7;2157.0;"2024-10-14 22:57:18"
338;8;412.0;"2024-10-14 22:57:18"
339;10;2350005.0;"2024-10-14 22:57:18"
340;9;1412336.0;"2024-10-14 22:57:18"
341;1;7.3;"2024-10-14 22:57:23"
342;2;90.0;"2024-10-14 22:57:23"
343;5;0.0;"2024-10-14 22:57:23"
344;6;0.0;"2024-10-14 22:57:23"
345;3;0.0;"2024-10-14 22:57:23"
346;4;1.0;"2024-10-14 22:57:23"
347;7;2157.0;"2024-10-14 22:57:49"
348;8;412.0;"2024-10-14 22:57:49"
349;10;2350191.0;"2024-10-14 22:57:49"
350;9;1412537.0;"2024-10-14 22:57:49"
351;1;5.2;"2024-10-14 22:57:53"
352;2;90.4;"2024-10-14 22:57:53"
353;5;0.0;"2024-10-14 22:57:53"
354;6;0.0;"2024-10-14 22:57:53"
355;3;0.0;"2024-10-14 22:57:53"
356;4;1.0;"2024-10-14 22:57:53"
357;7;2157.0;"2024-10-14 22:58:19"
358;8;412.0;"2024-10-14 22:58:19"
359;10;2350533.0;"2024-10-14 22:58:19"
360;9;1412809.0;"2024-10-14 22:58:19"
361;1;5.4;"2024-10-14 22:58:23"
362;2;90.0;"2024-10-14 22:58:23"
363;5;0.0;"2024-10-14 22:58:23"
364;6;0.0;"2024-10-14 22:58:23"
365;3;0.0;"2024-10-14 22:58:23"
366;4;1.0;"2024-10-14 22:58:24"
367;7;2157.0;"2024-10-14 22:58:50"
368;8;413.0;"2024-10-14 22:58:50"
369;10;2350838.0;"2024-10-14 22:58:50"
370;9;1412988.0;"2024-10-14 22:58:50"
371;1;8.9;"2024-10-14 22:58:54"
372;2;90.2;"2024-10-14 22:58:54"
373;5;0.0;"2024-10-14 22:58:54"
374;6;0.0;"2024-10-14 22:58:54"
375;3;0.0;"2024-10-14 22:58:54"
376;4;1.0;"2024-10-14 22:58:54"
377;7;2157.0;"2024-10-14 22:59:20"
378;8;413.0;"2024-10-14 22:59:20"
379;10;2351029.0;"2024-10-14 22:59:20"
380;9;1413194.0;"2024-10-14 22:59:20"
381;1;3.0;"2024-10-14 22:59:24"
382;2;89.1;"2024-10-14 22:59:24"
383;5;0.0;"2024-10-14 22:59:24"
384;6;0.0;"2024-10-14 22:59:24"
385;3;0.0;"2024-10-14 22:59:24"
386;4;1.0;"2024-10-14 22:59:24"
387;7;2157.0;"2024-10-14 22:59:51"
388;8;413.0;"2024-10-14 22:59:51"
389;10;2351212.0;"2024-10-14 22:59:51"
390;9;1413401.0;"2024-10-14 22:59:51"
391;1;11.4;"2024-10-14 22:59:54"
392;2;90.3;"2024-10-14 22:59:54"
393;5;0.0;"2024-10-14 22:59:54"
394;6;0.0;"2024-10-14 22:59:54"
395;3;0.0;"2024-10-14 22:59:54"
396;4;1.0;"2024-10-14 22:59:54"
397;7;2157.0;"2024-10-14 23:00:21"
398;8;413.0;"2024-10-14 23:00:21"
399;10;2351374.0;"2024-10-14 23:00:21"
400;9;1413591.0;"2024-10-14 23:00:21"
401;1;13.2;"2024-10-14 23:00:24"
402;2;90.7;"2024-10-14 23:00:24"
403;5;0.0;"2024-10-14 23:00:24"
404;6;0.0;"2024-10-14 23:00:24"
405;3;0.0;"2024-10-14 23:00:24"
406;4;1.0;"2024-10-14 23:00:24"
407;7;2158.0;"2024-10-14 23:00:52"
408;8;413.0;"2024-10-14 23:00:52"
409;10;2352604.0;"2024-10-14 23:00:52"
410;9;1414187.0;"2024-10-14 23:00:52"
411;1;6.8;"2024-10-14 23:00:54"
412;2;90.6;"2024-10-14 23:00:54"
413;5;0.0;"2024-10-14 23:00:54"
414;6;0.0;"2024-10-14 23:00:54"
415;3;0.0;"2024-10-14 23:00:54"
416;4;1.0;"2024-10-14 23:00:54"
417;7;2159.0;"2024-10-14 23:01:22"
418;8;413.0;"2024-10-14 23:01:22"
419;10;2353643.0;"2024-10-14 23:01:22"
420;9;1414995.0;"2024-10-14 23:01:22"
421;1;8.7;"2024-10-14 23:01:24"
422;2;91.5;"2024-10-14 23:01:24"
423;5;0.0;"2024-10-14 23:01:24"
424;6;0.0;"2024-10-14 23:01:24"
425;3;0.0;"2024-10-14 23:01:24"
426;4;1.0;"2024-10-14 23:01:24"
427;7;2159.0;"2024-10-14 23:01:53"
428;8;413.0;"2024-10-14 23:01:53"
